id,last_scraped,host_id,latitude,longitude,accommodates,bedrooms,price
150480,3/7/19,724919,34.09048,-118.35749,1,1,65.00
151157,3/7/19,727945,34.10053,-118.34888,2,1,60.00
152333,3/7/19,465624,34.0779,-118.35738,8,2,160.00
152514,3/7/19,733870,33.90394,-118.4194,2,1,150.00
156321,3/7/19,343842,34.13812,-118.40791,2,1,75.00
158507,3/7/19,761042,34.16545,-118.45343,4,2,105.00
159982,3/7/19,140939,34.00479,-118.43154,4,1,100.00
160142,3/7/19,744026,34.08451,-118.60353,2,1,88.00
160156,3/7/19,457953,34.09598,-118.22121,6,3,10.00
160288,3/7/19,592405,34.09583,-118.61873,4,1,105.00
162047,3/7/19,774887,33.77357,-118.39386,2,1,58.00
163786,3/7/19,761042,34.16393,-118.45284,6,2,99.00
164889,3/7/19,592405,34.09751,-118.61716,4,1,110.00
164946,3/7/19,57161,34.04795,-118.23709,1,1,45.00
165978,3/7/19,294812,34.06839,-118.34576,4,2,249.00
167057,3/7/19,309512,34.11404,-118.32423,2,1,119.00
168477,3/7/19,479630,33.96772,-118.41958,3,1,89.00
169080,3/7/19,805676,34.10851,-118.32989,8,3,249.00
169107,3/7/19,679977,34.08058,-118.37108,6,3,390.00
171239,3/7/19,816926,34.09479,-118.33593,2,1,79.00
172193,3/7/19,821698,34.00612,-118.80914,2,1,369.00
172707,3/7/19,523903,34.08887,-118.24819,4,1,155.00
172813,3/7/19,797774,34.10168,-118.08888,1,1,55.00
172822,3/7/19,51484,33.90478,-118.42106,6,3,550.00
173568,3/7/19,465624,34.08434,-118.34931,6,2,165.00
175770,3/6/19,840140,33.98869,-118.46013,2,1,79.00
177666,3/7/19,849816,33.75594,-118.13342,6,3,275.00
179373,3/7/19,858852,34.11119,-118.3193,4,1,175.00
180174,3/7/19,476742,34.08777,-118.36638,2,1,89.00
181511,3/7/19,870087,34.10071,-118.24998,5,1,140.00
182083,3/6/19,515469,33.98981,-118.46249,2,1,275.00
184314,3/6/19,884031,33.97703,-118.46318,1,1,150.00
185536,3/7/19,890778,33.96053,-118.42206,1,1,75.00
185557,3/7/19,890778,33.96047,-118.42193,1,1,75.00
185950,3/7/19,379113,34.12979,-118.19589,2,1,94.00
187057,3/7/19,899508,34.13622,-118.20423,2,1,48.00
187526,3/7/19,215462,34.03036,-118.7569,4,1,220.00
